Name,Balls,Runs,Wkts,Ave,Econ
RR Powar (INDIA),1536,1191,34,35.02,4.65
JA Rennie (ZIM),1965,1564,34,46,4.77
KW Richardson (AUS),1143,1061,34,31.2,5.56
Tahir Naqqash (PAK),1596,1240,34,36.47,4.66
Usman Shinwari (PAK),768,633,34,18.61,4.94
N Vanua (PNG),1060,900,34,26.47,5.09
KCG Benjamin (WI),1319,923,33,27.96,4.19
U Bhatti (CAN),1630,1149,33,34.81,4.22
JG Bracewell (NZ),2447,1884,33,57.09,4.61
ST Gabriel (WI),1148,1134,33,34.36,5.92
YK Pathan (INDIA),1490,1365,33,41.36,5.49
E Schiferli (NL),1294,1008,33,30.54,4.67
Shabbir Ahmed (PAK),1642,1192,33,36.12,4.35
Sikander Bakht (PAK),1277,860,33,26.06,4.04
EO Simons (SA),1212,810,33,24.54,4
MP Stoinis (AUS),1414,1446,33,43.81,6.13
SD Anurasiri (SL),2100,1464,32,45.75,4.18
RD Berrington (SCOT),1394,1228,32,38.37,5.28
PP Chawla (INDIA),1312,1117,32,34.9,5.1
AC Dale (AUS),1596,979,32,30.59,3.68
DS de Silva (SL),2076,1557,32,48.65,4.5
MJ Hoggard (ENG),1306,1152,32,36,5.29
AJ Hollioake (ENG),1208,1019,32,31.84,5.06
Imran Haider (UAE),943,841,32,26.28,5.35
JM Kemp (Afr/SA),1303,1015,32,31.71,4.67
KTGD Prasad (SL),1015,976,32,30.5,5.76
S Prasanna (SL),1945,1767,32,55.21,5.45
Rizwan Cheema (CAN),1330,1095,32,34.21,4.93
GB Troup (NZ),1180,791,32,24.71,4.02
DL Underwood (ENG),1278,734,32,22.93,3.44
BV Vitori (ZIM),1193,1149,32,35.9,5.77
Arshad Ayub (INDIA),1769,1216,31,39.22,4.12
JW Dernbach (ENG),1234,1308,31,42.19,6.35
KS Lokuarachchi (SL),1011,725,31,23.38,4.3
MJ Mason (NZ),1179,1024,31,33.03,5.21
MM Sharma (INDIA),1121,1020,31,32.9,5.45
Zahoor Khan (UAE),750,703,31,22.67,5.62
Abdur Rehman (PAK),1624,1142,30,38.06,4.21
CEH Croft (WI),1070,620,30,20.66,3.47
GA Hick (ENG),1236,1026,30,34.2,4.98
RK Illingworth (ENG),1501,1059,30,35.3,4.23
AS Joseph (WI),1033,1107,30,36.9,6.42
SI Mahmood (ENG),1197,1169,30,38.96,5.85
DA Marillier (ZIM),1574,1235,30,41.16,4.7
PR Adams (SA),1109,815,29,28.1,4.4
RK Chauhan (INDIA),1634,1216,29,41.93,4.46
MD Crowe (NZ),1296,954,29,32.89,4.41
TBM de Leede (NL),1139,999,29,34.44,5.26
Ehsan Khan (HKG),807,594,29,20.48,4.41
Hasibul Hossain (BDESH),1375,1338,29,46.13,5.83
